#Redshift	LSSTu	LSSTg	LSSTr	LSSTi	LSSTz	LSSTy	M_1450	M_i
        0.01000        14.61109        14.65467        14.63338        14.56544        14.51652        14.47214       -18.33126       -18.67191
        0.02000        16.02816        16.07516        16.05757        15.98899        15.94109        15.89846       -18.42099       -18.76164
        0.03000        16.82137        16.87204        16.85795        16.78890        16.74225        16.70088       -18.50946       -18.85011
        0.04000        17.35971        17.41423        17.40343        17.33416        17.28897        17.24817       -18.59670       -18.93734
        0.05000        17.75890        17.81734        17.80959        17.74047        17.69670        17.65586       -18.68272       -19.02337
        0.06000        18.07054        18.13282        18.12793        18.05941        18.01674        17.97546       -18.76756       -19.10820
        0.07000        18.32225        18.38810        18.38589        18.31855        18.27647        18.23452       -18.85123       -19.19187
        0.08000        18.53047        18.59952        18.59987        18.53419        18.49221        18.44959       -18.93375       -19.27440
        0.09000        18.70577        18.77763        18.78042        18.71680        18.67449        18.63137       -19.01515       -19.35580
        0.10000        18.85536        18.92964        18.93476        18.87352        18.83063        18.78717       -19.09545       -19.43609
        0.11000        18.98439        19.06068        19.06802        19.00938        18.96584        18.92219       -19.17467       -19.51531
        0.12000        19.09667        19.17454        19.18398        19.12808        19.08396        19.04027       -19.25282       -19.59346
        0.13000        19.19508        19.27408        19.28554        19.23252        19.18783        19.14433       -19.32993       -19.67057
        0.14000        19.28185        19.36153        19.37492        19.32499        19.27963        19.23662       -19.40601       -19.74665
        0.15000        19.35876        19.43866        19.45391        19.40731        19.36102        19.31890       -19.48108       -19.82172
        0.16000        19.42724        19.50690        19.52401        19.48093        19.43333        19.39259       -19.55517       -19.89581
        0.17000        19.48848        19.56740        19.58641        19.54698        19.49776        19.45880       -19.62827       -19.96892
        0.18000        19.54344        19.62111        19.64212        19.60637        19.55534        19.51831       -19.70043       -20.04107
        0.19000        19.59289        19.66885        19.69196        19.65984        19.60706        19.57177       -19.77164       -20.11228
        0.20000        19.63748        19.71129        19.73660        19.70800        19.65370        19.61977       -19.84192       -20.18256
        0.21000        19.67775        19.74902        19.77663        19.75139        19.69591        19.66286       -19.91130       -20.25194
        0.22000        19.71413        19.78255        19.81252        19.79044        19.73420        19.70152       -19.97978       -20.32042
        0.23000        19.74703        19.81234        19.84471        19.82556        19.76896        19.73623       -20.04738       -20.38802
        0.24000        19.77682        19.83877        19.87357        19.85711        19.80047        19.76747       -20.11411       -20.45476
        0.25000        19.80384        19.86218        19.89942        19.88541        19.82900        19.79565       -20.18000       -20.52064
        0.26000        19.82841        19.88285        19.92254        19.91076        19.85482        19.82111       -20.24504       -20.58568
        0.27000        19.85078        19.90104        19.94319        19.93341        19.87819        19.84414       -20.30926       -20.64990
        0.28000        19.87121        19.91697        19.96158        19.95365        19.89936        19.86497       -20.37267       -20.71331
        0.29000        19.88989        19.93084        19.97793        19.97166        19.91857        19.88375       -20.43528       -20.77592
        0.30000        19.90702        19.94283        19.99239        19.98758        19.93608        19.90056       -20.49710       -20.83774
        0.31000        19.92273        19.95311        20.00513        20.00157        19.95210        19.91553       -20.55814       -20.89878
        0.32000        19.93719        19.96184        20.01628        20.01378        19.96676        19.92878       -20.61842       -20.95907
        0.33000        19.95051        19.96916        20.02593        20.02435        19.98016        19.94044       -20.67795       -21.01860
